u,v,w,Y
313.15,270.15,4200,-1750.81523241925
313.15,270.15,4400,-1823.0052652970307
313.15,270.15,4600,-1892.4470570758822
313.15,270.15,4800,-1964.4054244584925
313.15,272.15,2000,-950.6116015254387
313.15,272.15,2200,-1039.160225483158
313.15,272.15,2400,-1126.5614314363245
313.15,272.15,2600,-1212.8207798072187
313.15,272.15,2800,-1297.9436644067227
313.15,272.15,3000,-1381.93393854181
313.15,272.15,3200,-1464.7952367607115
313.15,272.15,3400,-1546.530302485718
313.15,272.15,3600,-1627.1419593658015
313.15,272.15,3800,-1706.6324716136096
313.15,272.15,4000,-1785.003825445
313.15,272.15,4200,-1862.2577530275228
313.15,272.15,4400,-1938.3957620254519
313.15,272.15,4600,-2004.1699470913766
313.15,272.15,4800,-2087.329062050394
313.15,274.15,2000,-1013.5666457193744
313.15,274.15,2200,-1107.6354986796835
313.15,274.15,2400,-1200.4210627680782
313.15,274.15,2600,-1291.9298358700723
313.15,274.15,2800,-1382.1666439268029
313.15,274.15,3000,-1471.1358417511494
313.15,274.15,3200,-1558.8410342475252
313.15,274.15,3400,-1645.285065370214
313.15,274.15,3600,-1730.471572258929
313.15,274.15,3800,-1814.402429532014
313.15,274.15,4000,-1897.0802561725375
313.15,274.15,4200,-1978.506366874773
313.15,274.15,4400,-2058.682657451132
313.15,274.15,4600,-2137.1734708953645
313.15,274.15,4800,-2215.291303406777
313.15,276.15,2000,-1079.6014125366812
313.15,276.15,2200,-1179.424137691536
313.15,276.15,2400,-1277.8143880188468
313.15,276.15,2600,-1374.778200242005
313.15,276.15,2800,-1470.3208103874463
313.15,276.15,3000,-1564.4467890841368
313.15,276.15,3200,-1656.989346044871
313.15,276.15,3400,-1748.4641151567114
313.15,276.15,3600,-1838.361490049437
313.15,276.15,3800,-1926.6696160168613
313.15,276.15,4000,-2013.9487721505973
313.15,276.15,4200,-2098.513566934017
313.15,276.15,4400,-2183.9162279933557
313.15,276.15,4600,-2266.8392144191753
313.15,276.15,4800,-2348.345794220375
318.15,268.15,2000,-796.1735197339999
318.15,268.15,2200,-870.390679546474
318.15,268.15,2400,-943.6646952084375
318.15,268.15,2600,-1016.0033400267467
318.15,268.15,2800,-1087.4132413674106
318.15,268.15,3000,-1157.9000166462527
318.15,268.15,3200,-1227.4684275187271
318.15,268.15,3400,-1296.1225093041676
318.15,268.15,3600,-1363.8656781169168
318.15,268.15,3800,-1430.700524906835
318.15,268.15,4000,-1496.630171685235
318.15,268.15,4200,-1561.6561025148337
318.15,268.15,4400,-1625.7801447007387
318.15,268.15,4600,-1689.0036486334616
318.15,268.15,4800,-1751.327681739918
318.15,270.15,2000,-850.5251532805044
318.15,270.15,2200,-929.5124497092369
318.15,270.15,2400,-1007.4442906759942
318.15,270.15,2600,-1084.328965018099
318.15,270.15,2800,-1160.173427757114
318.15,270.15,3000,-1234.9835184846552
318.15,270.15,3200,-1308.7641468710735
318.15,270.15,3400,-1381.5191408688286
318.15,270.15,3600,-1453.252825215742
318.15,270.15,3800,-1523.952457697362
318.15,270.15,4000,-1593.6651331813785
318.15,270.15,4200,-1662.3485607186647
318.15,270.15,4400,-1730.0190957575687
318.15,270.15,4600,-1796.6780211537337
318.15,270.15,4800,-1862.3263067866235
318.15,272.15,2000,-907.5927599245066
318.15,272.15,2200,-991.5601361118403
318.15,272.15,2400,-1074.3483396422032
318.15,272.15,2600,-1155.9660348470338
318.15,272.15,2800,-1236.4204263049132
318.15,272.15,3000,-1315.717520008633
318.15,272.15,3200,-1393.8620729969525
318.15,272.15,3400,-1470.8590295348545
318.15,272.15,3600,-1546.711095258392
318.15,272.15,3800,-1621.421613212354
318.15,272.15,4000,-1694.9929102073493
318.15,272.15,4200,-1767.4269514505381
318.15,272.15,4400,-1838.7252996198074
318.15,272.15,4600,-1908.889145400236
318.15,272.15,4800,-1971.0932897966145
318.15,274.15,2000,-967.4693352989894
318.15,274.15,2200,-1056.6306862517297
318.15,274.15,2400,-1144.4765467530613
318.15,274.15,2600,-1231.0158655010655
318.15,274.15,2800,-1316.2557557283767
318.15,274.15,3000,-1400.2031802430563
318.15,274.15,3200,-1482.8623946187522
318.15,274.15,3400,-1564.2379906500944
318.15,274.15,3600,-1644.333500552355
318.15,274.15,3800,-1723.151860673176
318.15,274.15,4000,-1800.6954719559376
318.15,274.15,4200,-1876.9662569743166
318.15,274.15,4400,-1951.9657011522843
318.15,274.15,4600,-2025.6946375710752
318.15,274.15,4800,-2098.1541228948104
318.15,276.15,2000,-1030.2500988129202
318.15,276.15,2200,-1124.8228226711644
318.15,276.15,2400,-1217.9298945823239
318.15,276.15,2600,-1309.5802291262548
318.15,276.15,2800,-1399.7819589067853
318.15,276.15,3000,-1488.5410608503512
318.15,276.15,3200,-1575.862515628062
318.15,276.15,3400,-1661.7508009855724
318.15,276.15,3600,-1746.2090974410798
318.15,276.15,3800,-1828.6706685174538
318.15,276.15,4000,-1910.8491062056898
318.15,276.15,4200,-1991.0349752550446
318.15,276.15,4400,-2069.7996112781602
318.15,276.15,4600,-2147.1442113067337
318.15,276.15,4800,-2223.069220555035
323.15,268.15,2000,-758.3948036961183
323.15,268.15,2200,-828.5690784712987
323.15,268.15,2400,-897.7651851910775
323.15,268.15,2600,-965.9936486467891
323.15,268.15,2800,-1033.263429606029
323.15,268.15,3000,-1099.5820834305396
323.15,268.15,3200,-1164.955958631166
323.15,268.15,3400,-1229.3903657772305
323.15,268.15,3600,-1292.8897188778838
323.15,268.15,3800,-1355.4576517624323
323.15,268.15,4000,-1417.0971146279326
323.15,268.15,4200,-1477.8104537637523
323.15,268.15,4400,-1537.5994545001522
323.15,268.15,4600,-1596.4654288320107
323.15,268.15,4800,-1654.4092185961674
323.15,270.15,2000,-809.9685088611961
323.15,270.15,2200,-884.610547805953
323.15,270.15,2400,-958.1605910013257
323.15,270.15,2600,-1030.6298682033096
323.15,270.15,2800,-1102.0277539929314
323.15,270.15,3000,-1172.362045832239
323.15,270.15,3200,-1241.6392077531057
323.15,270.15,3400,-1309.8645698733387
323.15,270.15,3600,-1377.0424896044262
323.15,270.15,3800,-1443.1764885324326
323.15,270.15,4000,-1508.2693199243968
323.15,270.15,4200,-1572.3231124520487
323.15,270.15,4400,-1635.3393812626634
323.15,270.15,4600,-1697.319089430817
323.15,270.15,4800,-1758.2623737258673
323.15,272.15,2000,-864.0919956970708
323.15,272.15,2200,-943.3953026995841
323.15,272.15,2400,-1021.4815244856879
323.15,272.15,2600,-1098.3623807846434
323.15,272.15,2800,-1174.0475255309461
323.15,272.15,3000,-1248.5448875973818
323.15,272.15,3200,-1321.860953541283
323.15,272.15,3400,-1394.0008342475803
323.15,272.15,3600,-1464.969236604856
323.15,272.15,3800,-1534.7689945415616
323.15,272.15,4000,-1603.4025557245009
323.15,272.15,4200,-1670.8722111577656
323.15,272.15,4400,-1737.1788645549818
323.15,272.15,4600,-1802.3230315164885
323.15,272.15,4800,-1866.3046281310126
323.15,274.15,2000,-920.851617947469
323.15,274.15,2200,-1005.0132602101605
323.15,274.15,2400,-1087.820231268146
323.15,274.15,2600,-1169.2845847072354
323.15,274.15,2800,-1249.4161303117435
323.15,274.15,3000,-1328.22282877118
323.15,274.15,3200,-1405.7110506282625
323.15,274.15,3400,-1481.8859193208075
323.15,274.15,3600,-1556.7516401888756
323.15,274.15,3800,-1630.3111722026913
323.15,274.15,4000,-1702.566704789021
323.15,274.15,4200,-1773.5196342661807
323.15,274.15,4400,-1842.148615571183
323.15,274.15,4600,-1911.5195554353347
323.15,274.15,4800,-1971.123510979672
323.15,276.15,2000,-980.3359234881701
323.15,276.15,2200,-1069.5560451687109
323.15,276.15,2400,-1157.2701412402516
323.15,276.15,2600,-1243.490458066115
323.15,276.15,2800,-1328.2268538757098
323.15,276.15,3000,-1411.4870876042928
323.15,276.15,3200,-1493.2778221293768
323.15,276.15,3400,-1573.6036966297258
323.15,276.15,3600,-1652.4685605726802
323.15,276.15,3800,-1729.8751255337736
323.15,276.15,4000,-1805.8251517053761
323.15,276.15,4200,-1878.3655563859616
323.15,276.15,4400,-1953.358192768194
323.15,276.15,4600,-2024.9403468804437
323.15,276.15,4800,-2095.0638826987956
